day_month;mmolm3_mean;molL_mean;JL_mean;thetao_mean;zoo1_mean;mf0_pil_mean;mf1_pil_mean;mf2_pil_mean;mf3_pil_mean;mf4_pil_mean;mf0_ane_mean;mf1_ane_mean;mf2_ane_mean;mf3_ane_mean;mf4_ane_mean
01/01;3,890822006772727;3,890821818181819e-6;2,147733747795455;14,253652037727276;0,028240502727272722;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
02/01;3,8893325068636355;3,889331590909091e-6;2,146911543863636;14,215045080909091;0,02774477272727272;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
03/01;3,896775921045455;3,896775227272727e-6;2,1510203085681816;14,17639604409091;0,027476270909090907;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
04/01;3,9129041746363638;3,912903863636364e-6;2,159923104545454;14,133398120454551;0,027155378181818193;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
05/01;3,9267572390454544;3,9267568181818166e-6;2,1675699961136363;14,094345180227272;0,026599302499999998;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
06/01;3,947165653613636;3,947164999999999e-6;2,178835440977272;14,060401199090906;0,026248500454545465;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
07/01;3,9863421597500017;3,986341136363636e-6;2,2004608723863637;14,027589823863634;0,025889658863636367;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
08/01;4,036102726159092;4,036102727272727e-6;2,2279287049545466;13,99758269727272;0,02539021272727273;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
09/01;4,0935489676136365;4,093548636363637e-6;2,2596390302272726;13,967504611363639;0,02511934590909092;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
10/01;4,158364061295455;4,1583625000000015e-6;2,2954169619090905;13,940224265909091;0,02511828431818182;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
11/01;4,230119545727271;4,230117727272728e-6;2,3350259892499996;13,915091845000005;0,02510661840909091;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
12/01;4,303778120159091;4,3037770454545465e-6;2,375685522295454;13,888871939772725;0,025121610000000003;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
13/01;4,38774055165909;4,387739318181818e-6;2,422032784431818;13,858353729999997;0,02518776590909091;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
14/01;4,481476672022728;4,481475e-6;2,473775122909091;13,830206056590908;0,025236475227272733;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
15/01;4,568704809204545;4,568703863636363e-6;2,521925054590908;13,80203742068182;0,0252580665909091;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
16/01;4,646977405204546;4,64697659090909e-6;2,5651315276136364;13,769305045454548;0,025294913863636363;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
17/01;4,722713728909092;4,722712954545454e-6;2,606937978363636;13,73752719181818;0,025373017499999997;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
18/01;4,7998464655909086;4,7998459090909076e-6;2,6495152490227274;13,71000348636364;0,025492320227272734;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
19/01;4,867803107204545;4,867802727272727e-6;2,6870273152045456;13,681810195681818;0,025747923409090902;0,020799313636363635;0,12889956363636365;0,3988970840909092;0,7809939363636363;0,7809939363636363;0,020295745454545457;0,2515024704545455;0,9724317954545455;1,3779576704545458;1,3779576704545458
